query,entity,label
"what is the two particular species exist in Florida
",Florida,GPE
"what is the two particular species exist in Florida
",two,CARDINAL
"what is the two particular species exist in Florida
",Florida,GPE
"what is the two particular species exist in Florida
",two,CARDINAL
"what is the two particular species exist in Florida
","Jan 9, 2023",DATE
"what is the two particular species exist in Florida
",Thirty-nine,CARDINAL
"what is the two particular species exist in Florida
",Florida,GPE
"what is the two particular species exist in Florida
",Everglades,LOC
"what is the two particular species exist in Florida
",Two,CARDINAL
"how many students did gone to a all white school in Arkansas
","Jan 29, 2010",DATE
"how many students did gone to a all white school in Arkansas
",The Little Rock Nine,ORG
"how many students did gone to a all white school in Arkansas
",nine,CARDINAL
"how many students did gone to a all white school in Arkansas
",Central High School,ORG
"how many students did gone to a all white school in Arkansas
",Little Rock,GPE
"how many students did gone to a all white school in Arkansas
",Arkansas,GPE
"how many students did gone to a all white school in Arkansas
",African American,NORP
"how many students did gone to a all white school in Arkansas
",Little Rock Central High School,ORG
"how many students did gone to a all white school in Arkansas
",The Little Rock Nine,ORG
"how many students did gone to a all white school in Arkansas
",nine,CARDINAL
"how many students did gone to a all white school in Arkansas
",African American,NORP
"how many students did gone to a all white school in Arkansas
",Little Rock Central High School,ORG
"how many students did gone to a all white school in Arkansas
",1957,DATE
"how many students did gone to a all white school in Arkansas
","Nov 24, 2009",DATE
"how many students did gone to a all white school in Arkansas
",Nine,CARDINAL
"how many students did gone to a all white school in Arkansas
",Central High School,ORG
"how many students did gone to a all white school in Arkansas
",Little Rock,GPE
"how many students did gone to a all white school in Arkansas
",Arkansas,GPE
"how many students did gone to a all white school in Arkansas
","September 25, 1957",DATE
"how many students did gone to a all white school in Arkansas
",The Board of Education,ORG
"how many students did gone to a all white school in Arkansas
",the years,DATE
"how many students did gone to a all white school in Arkansas in 1957
","Jan 29, 2010",DATE
"how many students did gone to a all white school in Arkansas in 1957
",Brown,PERSON
"how many students did gone to a all white school in Arkansas in 1957
",Central High School,ORG
"how many students did gone to a all white school in Arkansas in 1957
",Little Rock,GPE
"how many students did gone to a all white school in Arkansas in 1957
",Arkansas,GPE
"how many students did gone to a all white school in Arkansas in 1957
",September 1957,DATE
"how many students did gone to a all white school in Arkansas in 1957
",The Little Rock Nine,ORG
"how many students did gone to a all white school in Arkansas in 1957
",nine,CARDINAL
"how many students did gone to a all white school in Arkansas in 1957
",African American,NORP
"how many students did gone to a all white school in Arkansas in 1957
",Little Rock Central High School,ORG
"how many students did gone to a all white school in Arkansas in 1957
",1957,DATE
"how many students did gone to a all white school in Arkansas in 1957
","Nov 24, 2009",DATE
"how many students did gone to a all white school in Arkansas in 1957
",Nine,CARDINAL
"how many students did gone to a all white school in Arkansas in 1957
",Central High School,ORG
"how many students did gone to a all white school in Arkansas in 1957
",Little Rock,GPE
"how many students did gone to a all white school in Arkansas in 1957
",Arkansas,GPE
"how many students did gone to a all white school in Arkansas in 1957
","September 25, 1957",DATE
"how many students did gone to a all white school in Arkansas in 1957
",the summer of 1957,DATE
"how many students did gone to a all white school in Arkansas in 1957
",the Little Rock Nine,ORG
"how many students did gone to a all white school in Arkansas in 1957
",Little Rock Central High School,ORG
"how many students did gone to a all white school in Arkansas in 1957
","Feb 1, 2023",DATE
"how many students did gone to a all white school in Arkansas in 1957
",Central High School,ORG
"how many students did gone to a all white school in Arkansas in 1957
",Little Rock,GPE
"how many students did gone to a all white school in Arkansas in 1957
",Arkansas,GPE
"how many students did gone to a all white school in Arkansas in 1957
",1957,DATE
"organ pipe cactus national monument 
","Dec 19, 2022",DATE
"organ pipe cactus national monument 
",Organ Pipe Cactus National Monument,ORG
"organ pipe cactus national monument 
",International Biosphere Reserve,ORG
"organ pipe cactus national monument 
",Organ Pipe Cactus National Monument,ORG
"organ pipe cactus national monument 
",U.S.,GPE
"organ pipe cactus national monument 
",UNESCO,ORG
"organ pipe cactus national monument 
",Arizona,GPE
"organ pipe cactus national monument 
","Dec 19, 2022",DATE
"organ pipe cactus national monument 
",16.00,MONEY
"organ pipe cactus national monument 
",Access Pass,ORG
"organ pipe cactus national monument 
",50%,PERCENT
"organ pipe cactus national monument 
",Roosevelt,PERSON
"organ pipe cactus national monument 
",Organ Pipe Cactus National Monument,ORG
"organ pipe cactus national monument 
","more than 330,000 acres",QUANTITY
"organ pipe cactus national monument 
",the Sonoran Desert,LOC
"organ pipe cactus national monument 
",Arizona,GPE
"organ pipe cactus national monument 
","Dec 19, 2022",DATE
"organ pipe cactus national monument 
","This 330,000 acre",QUANTITY
"organ pipe cactus national monument 
",1937,DATE
"organ pipe cactus national monument 
",Sonoran Desert,PERSON
"organ pipe cactus national monument 
",Organ Pipe Cactus National Monument...,ORG
"what arizona desert is  organ pipe cactus national monument in?
","Dec 19, 2022",DATE
"what arizona desert is  organ pipe cactus national monument in?
",the Sonoran Desert,LOC
"what arizona desert is  organ pipe cactus national monument in?
",thousands of years,DATE
"what arizona desert is  organ pipe cactus national monument in?
",Organ Pipe Cactus National Monument,ORG
"what arizona desert is  organ pipe cactus national monument in?
",U.S.,GPE
"what arizona desert is  organ pipe cactus national monument in?
",UNESCO,ORG
"what arizona desert is  organ pipe cactus national monument in?
",Arizona,GPE
"what arizona desert is  organ pipe cactus national monument in?
","Dec 19, 2022",DATE
"what arizona desert is  organ pipe cactus national monument in?
",Ajo,GPE
"what arizona desert is  organ pipe cactus national monument in?
",Arizona,GPE
"what arizona desert is  organ pipe cactus national monument in?
",45 minutes,TIME
"what arizona desert is  organ pipe cactus national monument in?
",33 miles,QUANTITY
"what arizona desert is  organ pipe cactus national monument in?
",Arizona Highway,FAC
"what arizona desert is  organ pipe cactus national monument in?
",2,CARDINAL
"what arizona desert is  organ pipe cactus national monument in?
",Roosevelt,PERSON
"what arizona desert is  organ pipe cactus national monument in?
",Organ Pipe Cactus National Monument,ORG
"what arizona desert is  organ pipe cactus national monument in?
","more than 330,000 acres",QUANTITY
"what arizona desert is  organ pipe cactus national monument in?
",the Sonoran Desert,LOC
"what arizona desert is  organ pipe cactus national monument in?
",Arizona,GPE
"what arizona desert is  organ pipe cactus national monument in?
","Dec 19, 2022",DATE
"what arizona desert is  organ pipe cactus national monument in?
",Arizona,GPE
"arizona desert with organ pipe cactus national monument
","Dec 19, 2022",DATE
"arizona desert with organ pipe cactus national monument
",the Sonoran Desert,LOC
"arizona desert with organ pipe cactus national monument
",thousands of years,DATE
"arizona desert with organ pipe cactus national monument
",Organ Pipe Cactus National Monument,ORG
"arizona desert with organ pipe cactus national monument
",U.S.,GPE
"arizona desert with organ pipe cactus national monument
",UNESCO,ORG
"arizona desert with organ pipe cactus national monument
",Arizona,GPE
"arizona desert with organ pipe cactus national monument
","Dec 19, 2022",DATE
"arizona desert with organ pipe cactus national monument
",Arizona,GPE
"arizona desert with organ pipe cactus national monument
",Roosevelt,PERSON
"arizona desert with organ pipe cactus national monument
",Organ Pipe Cactus National Monument,ORG
"arizona desert with organ pipe cactus national monument
","more than 330,000 acres",QUANTITY
"arizona desert with organ pipe cactus national monument
",the Sonoran Desert,LOC
"arizona desert with organ pipe cactus national monument
",Arizona,GPE
"arizona desert with organ pipe cactus national monument
","Dec 19, 2022",DATE
"what two species exist side by side in everglades national partk
","Dec 6, 2017",DATE
"what two species exist side by side in everglades national partk
",Capulin Volcano National Monument,ORG
"what two species exist side by side in everglades national partk
",two,CARDINAL
"what two species exist side by side in everglades national partk
",Everglades National Park,LOC
"what two species exist side by side in everglades national partk
",Florida,GPE
"what two species exist side by side in everglades national partk
","24, 2020",DATE
"what two species exist side by side in everglades national partk
",Florida,GPE
"what two species exist side by side in everglades national partk
",Crocodiles,PERSON
"what lives in everglades national park
",more than 40,CARDINAL
"what lives in everglades national park
",Ultimate Guide,ORG
"what lives in everglades national park
",American Crocodiles,ORG
"what lives in everglades national park
",More than 360,CARDINAL
"what lives in everglades national park
",Everglades National Park,LOC
"what lives in everglades national park
","May 5, 2021",DATE
"what lives in everglades national park
",American,NORP
"what lives in everglades national park
",Florida,GPE
"what lives in everglades national park
",West Indian,NORP
"when did the capulin volcano last erupt
","23, 2016",DATE
"when did the capulin volcano last erupt
","roughly 56,000 to",CARDINAL
"when did the capulin volcano last erupt
","62,000 years ago",DATE
"when did the capulin volcano last erupt
",the Raton-Clayton,ORG
"when did the capulin volcano last erupt
","Mar 10, 2022",DATE
"when did the capulin volcano last erupt
",Capulin Volcano,PERSON
"when did the capulin volcano last erupt
","more than 60,000 years ago",DATE
"when did the capulin volcano last erupt
","20, 2020",DATE
"when did the capulin volcano last erupt
",RCVF,ORG
"when did the capulin volcano last erupt
",approximately 9 million years ago,DATE
"when did the capulin volcano last erupt
",Capulin,PERSON
"when did the capulin volcano last erupt
","between 56,000 and 62,000 years ago",CARDINAL
"when did the capulin volcano last erupt
",Capulin,PERSON
"when did the capulin volcano last erupt
",Capulin,GPE
"when did the capulin volcano last erupt
","approximately 60,000 years ago",DATE
"when did the capulin volcano last erupt
",RCVF,ORG
"what country is the roosevelt campobello park in
",Roosevelt Campobello International Park,PERSON
"what country is the roosevelt campobello park in
","Feb 19, 2016",DATE
"what country is the roosevelt campobello park in
",Roosevelt,PERSON
"what country is the roosevelt campobello park in
","Beloved Island"" Memorial",WORK_OF_ART
"what country is the roosevelt campobello park in
",many years,DATE
"what country is the roosevelt campobello park in
",Franklin D. Roosevelt,PERSON
"what country is the roosevelt campobello park in
",Campobello Island,LOC
"what country is the roosevelt campobello park in
",Roosevelt Campobello International Park,PERSON
"what country is the roosevelt campobello park in
",summer,DATE
"what country is the roosevelt campobello park in
",Franklin D. Roosevelt,PERSON
"what country is the roosevelt campobello park in
",Eleanor Roosevelt,PERSON
"what country is the roosevelt campobello park in
",two,CARDINAL
"what country is the roosevelt campobello park in
",Roosevelt,PERSON
"what country is the roosevelt campobello park in
",two,CARDINAL
"what country is the roosevelt campobello park in
",Eleanor Roosevelt,PERSON
"what country is the roosevelt campobello park in
",the Roosevelt Cottage,GPE
"what country is the roosevelt campobello park in
",1962,DATE
"what event happened in 1859 between two countries 
",Opening,WORK_OF_ART
"what event happened in 1859 between two countries 
",China,GPE
"what event happened in 1859 between two countries 
",the Second Opium War,EVENT
"what event happened in 1859 between two countries 
",the United States,GPE
"what event happened in 1859 between two countries 
",the Treaty of Tianjin,ORG
"what event happened in 1859 between two countries 
",18571859,DATE
"what event happened in 1859 between two countries 
",the First Opium War,EVENT
"what event happened in 1859 between two countries 
",the 1840s,DATE
"what event happened in 1859 between two countries 
","Mar 14, 2012 ...",DATE
"what event happened in 1859 between two countries 
",Carrington,PERSON
"what event happened in 1859 between two countries 
",two,CARDINAL
"what event happened in 1859 between two countries 
",10,CARDINAL
"what event happened in 1859 between two countries 
",Franco-Austrian War,EVENT
"what event happened in 1859 between two countries 
",Napoleon III's,ORG
"what event happened in 1859 between two countries 
",France,GPE
"what event happened in 1859 between two countries 
",Piedmont-Sardinia,ORG
"what event happened in 1859 between two countries 
",Austria,GPE
"what event happened in 1859 between two countries 
",Earth,LOC
"what event happened in 1859 between two countries 
",September 23,DATE
"what event happened in 1859 between two countries 
",CME,ORG
"what event happened in 1859 between two countries 
",The Great Storm,ORG
"what event happened in 1859 between two countries 
",1859,DATE
"what event happened in 1859 between two countries 
","July 27, 1859",DATE
"what event happened in 1859 between two countries 
",the very day Pickett,DATE
"what event happened in 1859 between two countries 
",San Juan Islands,GPE
"places in pennsylvania to visit
",Philadelphia,GPE
"places in pennsylvania to visit
",Gettysburg,GPE
"places in pennsylvania to visit
",Pittsburgh,GPE
"places in pennsylvania to visit
",Hershey,GPE
"places in pennsylvania to visit
",Lancaster  Erie  Delaware Water Gap,GPE
"places in pennsylvania to visit
","Jan 11, 2023",DATE
"places in pennsylvania to visit
",Pennsylvania,GPE
"places in pennsylvania to visit
",1,CARDINAL
"places in pennsylvania to visit
",Poconos,GPE
"places in pennsylvania to visit
",2,CARDINAL
"places in pennsylvania to visit
",Easton,ORG
"places in pennsylvania to visit
",3,CARDINAL
"places in pennsylvania to visit
",4,CARDINAL
"places in pennsylvania to visit
",Crystal Cave  5,PRODUCT
"places in pennsylvania to visit
",Philadelphia,GPE
"places in pennsylvania to visit
",6,CARDINAL
"places in pennsylvania to visit
",The Brandywine Valley,LOC
"places in pennsylvania to visit
","Mar 21, 2023 ...",DATE
"places in pennsylvania to visit
",1,CARDINAL
"places in pennsylvania to visit
",Eastern State Penitentiary  2,ORG
"places in pennsylvania to visit
",Andy Warhol Museum,PERSON
"places in pennsylvania to visit
",3,CARDINAL
"places in pennsylvania to visit
",4,CARDINAL
"places in pennsylvania to visit
",Hersheypark,GPE
"places in pennsylvania to visit
",5,CARDINAL
"places in pennsylvania to visit
",Pennsylvania,GPE
"places in pennsylvania to visit
",6,CARDINAL
"places in pennsylvania to visit
",Gettysburg,GPE
"places in pennsylvania to visit
","Dec 17, 2022",DATE
"places in pennsylvania to visit
",10,CARDINAL
"places in pennsylvania to visit
",Pennsylvania,GPE
"places in pennsylvania to visit
",Ohiopyle State Park  8,PERSON
"places in pennsylvania to visit
",Delaware Water Gap  7,PERSON
"places in pennsylvania to visit
",Ricketts Glen,PERSON
"places in pennsylvania to visit
","22, 2022",DATE
"places in pennsylvania to visit
",16,CARDINAL
"places in pennsylvania to visit
",Top-Rated Tourist Attractions,ORG
"places in pennsylvania to visit
",Pennsylvania,GPE
"places in pennsylvania to visit
",1,CARDINAL
"places in pennsylvania to visit
",Independence National Park,ORG
"places in pennsylvania to visit
",the Liberty Bell,ORG
"places in pennsylvania to visit
",2,CARDINAL
"places in pennsylvania to visit
",Hershey Park  ,LOC
"places in pennsylvania to visit
",3,CARDINAL
"places in pennsylvania to visit
",Gettysburg National,ORG
"fun places to visit in pennsylvania
","Mar 21, 2023",DATE
"fun places to visit in pennsylvania
",One,CARDINAL
"fun places to visit in pennsylvania
",Pennsylvania,GPE
"fun places to visit in pennsylvania
",Independence National Historical Park,ORG
"fun places to visit in pennsylvania
",Liberty Bell,ORG
"fun places to visit in pennsylvania
","Rocky"" Statue and Steps  Hershey  Explore Gettysburg National Military Park  Randyland  Carnegie Science Museum  The Andy Warhol Museum  Eat",WORK_OF_ART
"fun places to visit in pennsylvania
",358,CARDINAL
"fun places to visit in pennsylvania
",Pennsylvania,GPE
"fun places to visit in pennsylvania
",Eastern State Penitentiary,LOC
"fun places to visit in pennsylvania
",Wagner Free Institute,ORG
"fun places to visit in pennsylvania
",Philadelphia,GPE
"fun places to visit in pennsylvania
",Gettysburg,GPE
"fun places to visit in pennsylvania
",Pittsburgh,GPE
"fun places to visit in pennsylvania
",Hershey,GPE
"fun places to visit in pennsylvania
",Lancaster  Erie  Delaware Water Gap,GPE
"fun places to visit in pennsylvania
","Jan 11, 2023",DATE
"fun places to visit in pennsylvania
",Pennsylvania,GPE
"fun places to visit in pennsylvania
",1,CARDINAL
"fun places to visit in pennsylvania
",Poconos,GPE
"fun places to visit in pennsylvania
",2,CARDINAL
"fun places to visit in pennsylvania
",Easton,ORG
"fun places to visit in pennsylvania
",3,CARDINAL
"fun places to visit in pennsylvania
",4,CARDINAL
"fun places to visit in pennsylvania
",Crystal Cave  5,PRODUCT
"fun places to visit in pennsylvania
",Philadelphia,GPE
"fun places to visit in pennsylvania
",6,CARDINAL
"fun places to visit in pennsylvania
",The Brandywine Valley,LOC
"coco movie
",2017,DATE
"coco movie
",American,NORP
"coco movie
",Pixar Animation Studios,ORG
"coco movie
",Walt Disney Pictures,ORG
"coco movie
",Lee Unkrich,PERSON
"coco movie
",Anthony Gonzalez,PERSON
"coco movie
",Gael Garca Bernal,PERSON
"coco movie
",Benjamin Bratt,PERSON
"coco movie
",Alanna Ubach,PERSON
"coco movie
",Miguel,PERSON
"coco movie
","27, 2017",DATE
"coco movie
",Disney/Pixar's,ORG
"coco movie
",Miguel,PERSON
"coco movie
",Anthony Gonzalez,PERSON
"coco movie
",Lee Unkrich,PERSON
"coco movie
",Miguel,PERSON
"what is the movie coco about
",2017,DATE
"what is the movie coco about
",American,NORP
"what is the movie coco about
",Pixar Animation Studios,ORG
"what is the movie coco about
",Walt Disney Pictures,ORG
"what is the movie coco about
","Nov 21, 2017",DATE
"what is the movie coco about
",Coco,WORK_OF_ART
"what is the movie coco about
",Miguel,PERSON
"what is the movie coco about
","Feb 18, 2023",DATE
"what is the movie coco about
",Coco,GPE
"what is the movie coco about
",Disney/Pixar,ORG
"what is the movie coco about
",the Day of the Dead,DATE
"what is the movie coco about
","27, 2017",DATE
"what is the movie coco about
",Disney/Pixar's,ORG
"what is the movie coco about
",Miguel,PERSON
"what is the movie coco about
",Anthony Gonzalez,PERSON
"cool facts about Hawaii
",10,CARDINAL
"cool facts about Hawaii
",1,CARDINAL
"cool facts about Hawaii
",Mauna Kea,PERSON
"cool facts about Hawaii
",2,CARDINAL
"cool facts about Hawaii
",3,CARDINAL
"cool facts about Hawaii
",10,CARDINAL
"cool facts about Hawaii
",Hawaii,GPE
"cool facts about Hawaii
",English,LANGUAGE
"cool facts about Hawaii
",Hawaiian,NORP
"cool facts about Hawaii
",Hawaii,GPE
"cool facts about Hawaii
",Hawaii,GPE
"cool facts about Hawaii
",Earth,LOC
"cool facts about Hawaii
","Jan 14, 2022 ...",DATE
"cool facts about Hawaii
",Hawaii,GPE
"cool facts about Hawaii
",second,ORDINAL
"cool facts about Hawaii
",U.S,GPE
"cool facts about Hawaii
",Hawaiian,NORP
"cool facts about Hawaii
",second,ORDINAL
"cool facts about Hawaii
",1,CARDINAL
"cool facts about Hawaii
",Hawaii,GPE
"cool facts about Hawaii
",2.,CARDINAL
"cool facts about Hawaii
",3,CARDINAL
"cool facts about Hawaii
",Maui,LOC
"cool facts about Hawaii
",Mount Haleakala,LOC
"cool facts about Hawaii
",Hawaii,GPE
"cool facts about Hawaii
",first,ORDINAL
"cool facts about Hawaii
",Hawaii,GPE
"cool facts about Hawaii
",the Aloha State,FAC
"picture of a river
",40000,CARDINAL
"picture of a river
",+ River,LOC
"picture of a river
",Thousands,CARDINAL
"picture of a river
","50,533",CARDINAL
"picture of a river
",River,LOC
"picture of a river
",iStock,ORG
"what habitat does an Aardvark live in
","Jun 29, 2016",PERSON
"what habitat does an Aardvark live in
",Africa,LOC
"what habitat does an Aardvark live in
",Tubulidentata,PERSON
"what habitat does an Aardvark live in
",Orycteropus,ORG
"what habitat does an Aardvark live in
",African,NORP
"what habitat does an Aardvark live in
",the Sahara Desert,LOC
"fart noises
","Nov 22, 2017 ...",DATE
"fart noises
",Download FREE Fart,ORG
"fart noises
",170,CARDINAL
"fart noises
","17, 2016",DATE
"fart noises
",Fart,GPE
"fart noises
",App,PERSON
"fart noises
","Dec 10, 2020",DATE
"fart noises
","18, 2019",DATE
"fart noises
",3 Hours,TIME
"fart noises
",3 HOURS of Gentle Night RAIN,TIME
"fart noises
",Rain Sounds for Relaxing Sleep,ORG
"what is the movie leap about
","25, 2017",DATE
"what is the movie leap about
",Brittany,PERSON
"what is the movie leap about
",Paris,GPE
"what is the movie leap about
",almost 150 years ago,DATE
"what is the movie leap about
",1879,DATE
"what is the movie leap about
",Paris,GPE
"what is the movie leap about
","Mar 5, 2023",DATE
"what is the movie leap about
",Leap!,FAC
"what is the movie leap about
",1879,DATE
"what is the movie leap about
",Paris,GPE
"what is the movie leap about
",Felicie,ORG
"what is the movie leap about
",Brittany,PERSON
"what is the movie leap about
",Paris,GPE
"what is the movie leap about
",Ballerina,GPE
"what is the movie leap about
",Leap!,WORK_OF_ART
"what is the movie leap about
",the United States,GPE
"what is the movie leap about
",2016,DATE
"what is the movie leap about
",Summer,DATE
"what habitat do platypus live in
","29, 2016",DATE
"what habitat do platypus live in
",Habitat,ORG
"what habitat do platypus live in
",Australia,GPE
"what habitat do platypus live in
",Queensland,GPE
"what habitat do platypus live in
",Tasmania,GPE
"what habitat do platypus live in
",Australian,NORP
"what habitat do platypus live in
",31,DATE
"what habitat do platypus live in
",2021,DATE
"what habitat do platypus live in
",Australia,GPE
"what habitat do platypus live in
",Eastern,NORP
"what habitat do platypus live in
",Southeastern,ORG
"what habitat do platypus live in
",Australia,GPE
"what habitat do platypus live in
",Tasmania,GPE
"what habitat do platypus live in
",Flinders,ORG
"what habitat do platypus live in
",King Islands,LOC
"what habitat do platypus live in
",the Safari Park's,LOC
"what is minecraft
",day,DATE
"what is minecraft
","Mar 10, 2022",DATE
"what is minecraft
",Minecraft,PERSON
"what is minecraft
",Buy Minecraft,PERSON
"what is minecraft
",Java & Bedrock Edition,ORG
"what is minecraft
",Java,PERSON
"what is minecraft
",Mojang Studios,ORG
"what is minecraft
","Markus ""Notch"" Persson in the",PERSON
"what is minecraft
",Java,PERSON
"leap movie
",Ballerina,GPE
"leap movie
",Leap!,WORK_OF_ART
"leap movie
",the United States,GPE
"leap movie
",2016,DATE
"leap movie
",Summer,DATE
"leap movie
",1879,DATE
"leap movie
",Paris,GPE
"leap movie
",Chinese,NORP
"leap movie
",2020,DATE
"leap movie
",Peter Chan,PERSON
"leap movie
",Gong Li,PERSON
"leap movie
",Huang Bo,PERSON
"leap movie
",China,GPE
"leap movie
",the Paris Opera,ORG
"leap movie
",Nutcracker,ORG
"leap movie
",European,NORP
"leap movie
","February 21, 2019",DATE
"leap movie
",Rating,ORG
"leap movie
",4/10,CARDINAL
"platapus libes in
","March 15, 2018",DATE
"platapus libes in
",Australia,GPE
"platapus libes in
",Australian,NORP
"platapus libes in
","Mar 21, 2018",DATE
"platapus libes in
",Tasmania,GPE
"platapus libes in
",Australian,NORP
"platapus libes in
",Brisbane,GPE
"platapus libes in
",Australia,GPE
"platapus libes in
",21288,DATE
"platapus libes in
",45,CARDINAL
"platapus libes in
",Australia,GPE
"platapus libes in
",1898,DATE
"platapus libes in
",the mating season,DATE
"platapus libes in
",about 30 cm,QUANTITY
"platapus libes in
",12,CARDINAL
"whit is the move leap 
",Move Ahead WA,PERSON
"whit is the move leap 
",Amendment & Other,ORG
"whit is the move leap 
",LEAP,ORG
"whit is the move leap 
",Summer 2023,DATE
"whit is the move leap 
",LEAP,ORG
"whit is the move leap 
",Leap Year: Directed,EVENT
"whit is the move leap 
",Anand Tucker,PERSON
"whit is the move leap 
",Amy Adams,PERSON
"whit is the move leap 
",Matthew Goode,PERSON
"whit is the move leap 
",Adam Scott,PERSON
"whit is the move leap 
",John Lithgow,PERSON
"whit is the move leap 
",Anna Brady,PERSON
"whit is the move leap 
",Dublin,GPE
"whit is the move leap 
",Ireland,GPE
"whit is the move leap 
",The Landlord Engagement,ORG
"whit is the move leap 
",Assistance Program,ORG
"whit is the move leap 
",LEAP,ORG
"whit is the move leap 
",the City of San Diego,GPE
"whit is the move leap 
",San...,GPE
"whit is the move leap 
",1879,DATE
"whit is the move leap 
",Paris,GPE
"what kind of habitat do platypus live in
","29, 2016",DATE
"what kind of habitat do platypus live in
",Queensland,GPE
"what kind of habitat do platypus live in
",the Great Dividing Range,EVENT
"what kind of habitat do platypus live in
",north Queensland,GPE
"what kind of habitat do platypus live in
",90,CARDINAL
"what kind of habitat do platypus live in
",31,DATE
"what kind of habitat do platypus live in
",2021,DATE
"what kind of habitat do platypus live in
",Australia,GPE
"what kind of habitat do platypus live in
",Eastern,NORP
"what kind of habitat do platypus live in
",Southeastern,ORG
"what kind of habitat do platypus live in
",Australia,GPE
"what kind of habitat do platypus live in
",Tasmania,GPE
"what kind of habitat do platypus live in
",Flinders,ORG
"what kind of habitat do platypus live in
",King Islands,LOC
"what kind of habitat do platypus live in
","Jan 20, 2023",DATE
"what kind of habitat do platypus live in
",up to two minutes,TIME
"xmission
",10Gbps,CARDINAL
"xmission
",Utah,GPE
"xmission
",48,MONEY
"xmission
",XMission,ORG
"xmission
",first,ORDINAL
"xmission
",ISP,ORG
"xmission
",Utah,GPE
"xmission
",United States,GPE
"xmission
",late 1993,DATE
"xmission
",Pete,PERSON
"xmission
",XMission,ORG
"xmission
",Control Panel Login,ORG
"xmission
","Mar 20, 2023",DATE
"xmission
",XMission Support Wiki,PERSON
"xmission
",XMission,ORG
"minecraft videos
","Mar 4, 2023",DATE
"minecraft videos
",Minecraft,ORG
"minecraft videos
",YouTube,ORG
"minecraft videos
",Mojang Studios Games,ORG
"minecraft videos
","May 2, 2023",DATE
"minecraft videos
",Minecraft Hour,WORK_OF_ART
"minecraft videos
",Minecraft Education,ORG
"minecraft videos
","Feb 18, 2023",DATE
"google earth
",Google Earth,LOC
"google earth
",hundreds,CARDINAL
"google earth
",hundreds,CARDINAL
"google earth
",Google Earth,ORG
"google earth
",Chrome,PERSON
"google earth
",seconds,TIME
"google earth
",hundreds,CARDINAL
"google earth
",hundreds,CARDINAL
"dog names from where the red fern grows
",Billy Coleman,PERSON
"dog names from where the red fern grows
",ten-year-old,DATE
"dog names from where the red fern grows
",the Ozark Mountains,LOC
"dog names from where the red fern grows
",Oklahoma,GPE
"dog names from where the red fern grows
",Dan,PERSON
"dog names from where the red fern grows
",Billy,PERSON
"dog names from where the red fern grows
",Billy,PERSON
"dog names from where the red fern grows
",Billy,PERSON
"dog names from where the red fern grows
",two,CARDINAL
"dog names from where the red fern grows
",Little Ann,PERSON
"dog names from where the red fern grows
","May 25, 2022",DATE
"dog names from where the red fern grows
",first,ORDINAL
"dog names from where the red fern grows
",Billy,PERSON
"dog names from where the red fern grows
",Where The Red Fern Grows,WORK_OF_ART
"dog names from where the red fern grows
",Wilson Rawls,PERSON
"dog names from where the red fern grows
",Billy,PERSON
"dog names from where the red fern grows
",50.00,MONEY
"dog names from where the red fern grows
",two years,DATE
"dog names from where the red fern grows
",two,CARDINAL
"dog names from where the red fern grows
",Billy,PERSON
"dog names from where the red fern grows
","Feb 16, 2018",DATE
"dog names from where the red fern grows
",Dan,PERSON
"dog names from where the red fern grows
",Little Ann,PERSON
"dog names from where the red fern grows
",the Redbone Coonhound,ORG
"who is the mayor of boise idaho
",Lauren McLean,PERSON
"who is the mayor of boise idaho
",Lauren Stein McLean,PERSON
"who is the mayor of boise idaho
","October 20, 1974",DATE
"who is the mayor of boise idaho
",American,NORP
"who is the mayor of boise idaho
",Boise,GPE
"who is the mayor of boise idaho
",Idaho,GPE
"who is the mayor of boise idaho
",McLean,PERSON
"who is the mayor of boise idaho
",Lauren McLean,PERSON
"who is the mayor of boise idaho
","January 7, 2020",DATE
"who is the mayor of boise idaho
",21st-century,DATE
"who is the mayor of boise idaho
",Lauren McLean,PERSON
"who is the mayor of boise idaho
",2019,DATE
"who is the mayor of boise idaho
",Boise,GPE
"who is the mayor of boise idaho
",November 2023,DATE
"who is the mayor of boise idaho
","Mar 7, 2022",DATE
"who is the mayor of boise idaho
",Lauren McLean,PERSON
"who is the mayor of boise idaho
",Boise,GPE
"who is the mayor of boise idaho
",Idaho,GPE
"garfield elementary school web page
",Garfield Elementary,PERSON
"garfield elementary school web page
",K-6,PERSON
"garfield elementary school web page
",Spokane Public Schools,ORG
"garfield elementary school web page
",second,ORDINAL
"garfield elementary school web page
",Washington,GPE
"garfield elementary school web page
",Title 1 Program,LAW
"garfield elementary school web page
",Garfield Faculty & Staff,ORG
"garfield elementary school web page
",2022-23,DATE
"garfield elementary school web page
",Home Access Center,ORG
"garfield elementary school web page
",Garfield Elementary,PERSON
"garfield elementary school web page
",Accelerated Reader  Federal Report Card  School Report Card  Library  Cyber Safety  PISD Home Page,ORG
"garfield elementary school web page
",Garfield Elementary School - Updates,PERSON
"garfield elementary school web page
",June - 3rd,DATE
"garfield elementary school web page
",12:10-3:10,DATE
"garfield elementary school web page
",Monday,DATE
"garfield elementary school web page
",Wednesday - 2nd,DATE
"garfield elementary school web page
",Tuesday,DATE
"garfield elementary school web page
",Thursday - 4th,DATE
"bumblebee
",18,CARDINAL
"bumblebee
",Charlie Watson,PERSON
"bumblebee
",Bumblebee,PERSON
